Name,Price,Year,Kilometer,Fuel,Transmission,Engine,Location
Nissan Grand livina,110000000,2016,60.000,No fuel,No transmission,1.5,GambirHari
Toyota Kijang Innova,365000000,2021,30.000,No fuel,No transmission,2.0,Kebayoran
Nissan Livina,210000000,2022,25.000,No fuel,AT,24,Duren
Toyota Avanza,235000000,2023,25.000,No fuel,AT,1.5,PademanganHari
Suzuki Ignis,128000000,2021,20.000,Bensin,MT,1.2,Duren
Suzuki Ignis,154000000,2020,35.000,Bensin,AT,1.2,MatramanHari
Suzuki SX4,171000000,2018,100.000,Bensin,AT,4,CibuburHari
Mazda 2,184000000,2018,60.000,Bensin,AT,2,CibuburHari
Suzuki Baleno,142000000,2019,30.000,Bensin,MT,1.4,MatramanHari
Honda BR-V,187000000,2019,65.000,No fuel,No transmission,1.5,Pademangan08
Toyota Fortuner,295000000,2015,105.000,No fuel,No transmission,2.5,Cempaka
Nissan March,99000000,2014,145.000,No fuel,Automatic,1.2,Kelapa
Wuling Binguo EV,409000000,2024,5.000,No fuel,No transmission,No engine size,Duren
Toyota Kijang Innova,235000000,2017,70.000,No fuel,AT,2017,MentengHari
Mercedes-Benz E400,580000000,2014,85.000,No fuel,No transmission,400,Kelapa
Chevrolet Spark,115000000,2017,75.000,No fuel,No transmission,2017,Pasar
Mercedes-Benz GLA200,399000000,2017,60.000,No fuel,AT,200,SenenHari
Mitsubishi Pajero,190000000,2012,130.000,No fuel,No transmission,No engine size,Pulo
Honda HR-V,245000000,2017,45.000,No fuel,No transmission,2017,Pantai
Nissan Livina,210000000,2022,25.000,No fuel,AT,24,KemayoranHari
Toyota Land Cruiser,2450000000,2023,10.000,No fuel,No transmission,2023,CilandakHari
Honda Jazz,69500000,2005,300.000,Bensin,No transmission,2005,KembanganHari
Mitsubishi Xpander,187500000,2018,85.000,No fuel,AT,1.5,Pasar
Suzuki XL7,220000000,2022,30.000,No fuel,No transmission,7,CilangkapHari
Suzuki Ignis,128000000,2021,20.000,Bensin,MT,1.2,Mampang
Toyota Vios,107000000,2013,125.000,Bensin,MT,1.5,PademanganHari
Nissan Grand livina,102000000,2015,115.000,Bensin,AT,1.5,Kramat
Mitsubishi Xpander,263000000,2021,45.000,Bensin,AT,1.5,KalideresHari
Kia Picanto,89000000,2013,105.000,Bensin,AT,1.2,PesanggrahanHari
Nissan Grand livina,97000000,2013,70.000,No fuel,AT,No engine size,Kembangan15
Chevrolet Spin,85000000,2014,70.000,No fuel,AT,2014,Cilandak28
Lexus RX300,950000000,2020,25.000,No fuel,No transmission,20,Pademangan21
Land Rover Range Rover Velar,2000000000,2018,15.000,No fuel,No transmission,3.0,Cilandak5
BMW 320i,637000000,2022,15.000,No fuel,No transmission,38,Mampang
Honda Jazz,69500000,2005,300.000,Bensin,No transmission,2005,KembanganHari
Honda Jazz,115000000,2011,85.000,No fuel,MT,2011,KembanganHari
Mitsubishi Pajero Sport,442000000,2021,50.000,Diesel,No transmission,2021,CengkarengHari
Toyota Agya,132000000,2022,40.000,Bensin,No transmission,2022,KojaHari
Mitsubishi Pajero Sport,459000000,2019,115.000,No fuel,No transmission,4,KembanganHari
Mitsubishi Pajero Sport,530000000,2023,5.000,No fuel,No transmission,4,MentengHari
Toyota Alphard,1075000000,2022,30.000,No fuel,No transmission,2022,Kebayoran
Nissan Livina,210000000,2021,40.000,Bensin,No transmission,2021,Mampang
Toyota Voxy,438000000,2022,45.000,No fuel,AT,20,CilandakHari
Honda Mobilio,135000000,2016,70.000,Bensin,No transmission,2016,KalideresHari
Toyota Kijang Innova,170000000,2015,85.000,Bensin,AT,2.0,CilincingHari
Nissan Grand livina,99000000,2013,100.000,Bensin,No transmission,1.5,CibuburHari
Daihatsu Ayla,75000000,2015,45.000,Bensin,MT,1.0,Kebayoran
Honda Brio,105000000,2013,110.000,Bensin,AT,1.2,CibuburHari
Mazda 2,163000000,2015,65.000,Bensin,AT,2,JagakarsaHari
Toyota Fortuner,510000000,2022,10.000,Diesel,No transmission,2022,Kembangan5
Honda HR-V,261000000,2020,55.000,Bensin,AT,1.5,Cibubur6
Mazda CX-5,393000000,2021,25.000,No fuel,No transmission,5,CilandakKemarin
Lexus ES300,729000000,2019,30.000,No fuel,AT,300,Pantai
Toyota Agya,132000000,2022,40.000,Bensin,No transmission,2022,KojaHari
Honda Jazz,256000000,2019,70.000,Bensin,AT,2019,KemangHari
